carat,cut,color,clarity,depth,table,x,y,z,price
1.87,Premium,I,VS1,62.8,57.0,4.72,4.75,2.81,15631
1.23,Good,G,VVS1,59.8,55.0,3.11,3.15,1.86,8687
0.97,Good,J,VVS1,61.8,58.0,2.51,2.43,1.49,5318
1.24,Ideal,G,SI1,61.9,59.0,3.15,3.12,1.96,8309
0.62,Premium,F,IF,59.2,61.0,1.58,1.51,0.98,3053
0.57,Very Good,F,SI2,61.1,54.0,1.47,1.48,0.88,1483
0.51,Premium,E,SI1,62.1,60.0,1.31,1.24,0.81,890
0.7,Good,D,VVS1,62.3,58.0,1.8,1.7,1.11,3247
0.6,Premium,H,SI1,61.4,57.0,1.53,1.52,0.92,1017
1.36,Very Good,I,SI1,62.6,59.0,3.52,3.41,2.11,9267
0.58,Ideal,D,SI1,61.5,57.0,1.49,1.5,0.89,1626
0.5,Very Good,I,VS2,61.7,59.0,1.27,1.21,0.79,1326
1.96,Premium,D,VS2,62.1,55.0,4.98,4.94,3.0,16430
0.59,Fair,D,VS1,63.0,56.0,1.52,1.41,0.91,1780
0.8,Good,G,VVS1,60.8,60.0,2.05,2.13,1.21,3887
0.93,Premium,D,VS1,61.0,61.0,2.38,2.31,1.49,5256
0.42,Premium,I,SI1,60.8,57.0,1.08,1.06,0.67,300
1.37,Premium,H,VVS1,61.2,51.0,3.5,3.41,2.13,9721
1.02,Very Good,F,SI1,63.7,57.0,2.57,2.53,1.61,6377
1.61,Ideal,G,SI2,62.5,58.0,4.08,4.17,2.46,11572
0.53,Ideal,D,SI2,60.1,57.0,1.35,1.36,0.83,1566
0.78,Ideal,J,VS2,60.9,58.0,1.96,1.92,1.18,3499
0.76,Fair,F,SI2,62.2,56.0,1.93,1.93,1.16,2913
0.85,Premium,F,SI2,60.4,59.0,2.18,2.15,1.36,4302
0.36,Good,F,SI1,60.7,55.0,0.91,0.91,0.57,300
0.78,Very Good,H,SI1,63.6,60.0,1.96,2.0,1.18,3376
0.36,Ideal,G,VS2,60.8,61.0,0.93,0.91,0.55,300
0.89,Very Good,D,VVS2,63.0,55.0,2.28,2.29,1.38,4878
0.26,Premium,I,VS1,63.5,55.0,0.66,0.67,0.41,300
0.29,Premium,E,SI1,60.7,58.0,0.75,0.73,0.45,300
1.12,Ideal,F,SI1,60.5,55.0,2.87,2.83,1.77,7449
0.56,Premium,E,IF,61.3,56.0,1.42,1.39,0.89,1915
0.45,Fair,E,I1,60.2,60.0,1.14,1.17,0.68,300
1.4,Very Good,H,VVS1,61.9,59.0,3.53,3.57,2.2,10463
0.87,Premium,F,SI1,61.4,62.0,2.24,2.18,1.33,4632
1.15,Good,D,IF,62.2,58.0,2.93,2.92,1.81,7497
0.68,Very Good,G,SI1,63.7,56.0,1.74,1.7,1.08,2222
2.83,Fair,D,VS2,62.8,58.0,7.3,7.34,4.44,20000
0.55,Good,G,VS1,62.4,57.0,1.38,1.36,0.83,1325
1.77,Premium,I,VS2,58.9,57.0,4.45,4.56,2.79,14566
0.72,Good,G,SI1,62.3,57.0,1.82,1.83,1.08,2551
0.32,Premium,D,VS2,64.1,55.0,0.8,0.86,0.49,300
0.94,Ideal,H,VS1,57.5,58.0,2.41,2.36,1.46,5320
0.87,Ideal,D,SI2,62.7,54.0,2.23,2.23,1.36,4962
0.44,Very Good,D,I1,61.5,56.0,1.11,1.14,0.68,770
0.47,Very Good,G,VS2,60.5,57.0,1.19,1.14,0.73,366
0.73,Good,J,SI2,62.8,53.0,1.84,1.84,1.1,1964
0.88,Ideal,E,VS1,64.1,59.0,2.27,2.32,1.4,5120
0.22,Ideal,H,SI1,62.8,53.0,0.56,0.54,0.33,300
1.25,Fair,E,VS2,61.2,59.0,3.2,3.16,1.89,8518
0.58,Ideal,G,SI1,60.4,55.0,1.47,1.56,0.9,1448
0.38,Good,G,VS2,61.9,57.0,0.97,0.91,0.59,300
1.19,Premium,E,SI2,62.9,59.0,3.0,3.01,1.8,7495
0.73,Ideal,G,SI2,61.2,62.0,1.89,1.85,1.16,3179
1.36,Ideal,G,SI2,61.3,58.0,3.49,3.44,2.13,9046
0.92,Ideal,G,IF,65.7,53.0,2.35,2.39,1.42,5151
0.74,Ideal,G,SI2,63.2,60.0,1.89,1.88,1.16,2589
0.69,Very Good,F,VS1,63.3,57.0,1.76,1.78,1.11,2537
0.94,Ideal,E,SI2,59.7,58.0,2.38,2.27,1.45,5213
0.6,Good,G,SI2,60.7,59.0,1.52,1.55,0.94,1754
0.48,Ideal,F,VS2,61.8,53.0,1.23,1.19,0.74,1037
1.0,Premium,E,VS2,60.3,58.0,2.52,2.43,1.56,6231
0.69,Ideal,H,IF,63.9,57.0,1.74,1.83,1.07,2539
0.75,Premium,H,IF,63.7,60.0,1.92,1.95,1.18,4062
1.28,Ideal,D,VVS2,61.0,59.0,3.31,3.32,2.07,9034
0.7,Premium,E,VS2,64.2,54.0,1.81,1.87,1.08,2537
0.75,Ideal,F,VS2,61.7,60.0,1.88,1.89,1.14,3574
0.55,Good,F,SI1,65.3,58.0,1.39,1.35,0.82,920
0.92,Good,J,IF,61.9,54.0,2.35,2.34,1.45,5103
0.88,Very Good,F,VS2,62.5,58.0,2.27,2.24,1.42,4699
1.16,Very Good,G,VS2,63.7,60.0,3.0,2.97,1.82,7030
0.55,Ideal,F,SI1,63.5,55.0,1.42,1.36,0.86,1243
0.59,Very Good,G,SI2,62.4,61.0,1.51,1.46,0.93,1465
1.1,Ideal,J,IF,61.5,54.0,2.78,2.82,1.65,7412
0.84,Very Good,I,SI1,62.4,56.0,2.11,2.13,1.27,3625
0.47,Very Good,D,VS2,60.6,55.0,1.18,1.15,0.71,623
1.42,Ideal,G,SI2,61.9,61.0,3.63,3.58,2.22,9823
0.32,Ideal,G,VVS2,60.1,56.0,0.8,0.78,0.49,300
1.1,Premium,J,SI2,59.2,55.0,2.83,2.75,1.69,5999
0.39,Premium,J,VVS2,61.8,58.0,1.0,1.01,0.61,300
1.9,Ideal,E,SI2,63.5,59.0,4.78,4.83,3.0,16394
0.34,Very Good,F,VVS1,63.0,59.0,0.88,1.0,0.52,300
1.32,Ideal,G,VS1,61.6,57.0,3.37,3.31,2.08,9783
0.71,Ideal,H,SI2,64.1,58.0,1.83,1.88,1.13,2265
0.62,Ideal,E,VS2,60.9,56.0,1.6,1.56,1.0,1590
0.81,Very Good,I,SI1,59.0,61.0,2.05,1.99,1.26,3876
1.02,Ideal,I,SI2,58.6,60.0,2.59,2.53,1.59,6563
0.47,Good,G,VVS2,60.0,60.0,1.18,1.19,0.73,721
0.49,Fair,H,SI1,62.8,59.0,1.26,1.21,0.76,475
1.03,Very Good,H,SI1,60.8,59.0,2.63,2.6,1.61,5347
0.32,Premium,F,SI2,62.3,55.0,0.83,0.81,0.51,300
0.55,Ideal,F,SI1,64.0,59.0,1.39,1.35,0.84,1319
3.39,Ideal,E,VVS1,60.2,58.0,8.69,8.65,5.15,20000
0.46,Ideal,G,SI1,62.4,60.0,1.19,1.07,0.72,300
1.32,Premium,J,IF,62.5,59.0,3.38,3.38,2.03,9011
0.55,Very Good,H,IF,60.5,59.0,1.38,1.38,0.85,1255
0.96,Premium,D,SI2,63.6,54.0,2.45,2.41,1.54,4900
1.03,Ideal,F,SI2,61.3,57.0,2.6,2.62,1.56,6180
1.3,Fair,E,VVS1,61.2,56.0,3.27,3.34,1.94,8916
0.67,Ideal,J,SI1,64.7,58.0,1.7,1.7,1.07,2581
2.0,Premium,G,I1,62.4,57.0,5.06,5.13,3.13,16663
0.55,Premium,J,SI1,63.0,57.0,1.41,1.52,0.88,1167
0.83,Ideal,F,VS2,63.6,59.0,2.11,2.24,1.26,4314
0.84,Premium,D,VVS2,60.8,57.0,2.16,2.1,1.34,5135
0.42,Ideal,D,SI2,63.4,58.0,1.05,0.99,0.65,300
0.64,Ideal,F,SI2,61.0,54.0,1.61,1.59,0.96,2288
0.8,Premium,G,VVS1,60.9,56.0,2.01,2.02,1.2,3781
0.6,Very Good,D,VS1,61.3,59.0,1.52,1.6,0.91,2739
2.51,Premium,E,VS2,60.8,55.0,6.37,6.4,3.81,20000
0.49,Ideal,J,VS1,62.9,60.0,1.25,1.19,0.79,1009
1.34,Very Good,G,SI1,62.1,60.0,3.47,3.44,2.1,9757
1.14,Ideal,H,VS1,61.0,57.0,2.89,2.89,1.79,6952
0.74,Ideal,G,SI1,62.6,64.0,1.86,1.79,1.16,3457
0.48,Ideal,G,SI1,61.3,60.0,1.21,1.21,0.73,478
0.5,Good,F,VS1,61.2,55.0,1.29,1.23,0.8,1764
0.57,Ideal,G,SI1,61.8,59.0,1.46,1.38,0.87,933
0.3,Ideal,I,IF,62.3,58.0,0.77,0.72,0.47,300
0.45,Very Good,G,SI1,62.2,56.0,1.13,1.15,0.71,300
0.35,Very Good,D,VVS1,61.2,55.0,0.88,0.9,0.53,300
1.45,Ideal,E,VVS1,62.9,60.0,3.65,3.65,2.21,11300
1.01,Very Good,G,SI1,61.4,56.0,2.6,2.65,1.62,6292
1.1,Ideal,D,VVS2,60.8,57.0,2.78,2.82,1.71,7716
0.99,Premium,D,VS2,59.6,55.0,2.54,2.55,1.56,5979
0.81,Very Good,H,VVS1,63.1,56.0,2.07,2.07,1.29,3963
1.54,Ideal,J,VS2,61.7,57.0,3.93,3.94,2.32,11300
0.55,Premium,E,VS1,62.0,58.0,1.39,1.38,0.86,1779
0.78,Premium,E,VS2,63.2,52.0,2.0,1.89,1.25,3440
1.08,Very Good,D,SI1,61.0,58.0,2.71,2.77,1.6,6689
0.38,Premium,D,SI1,59.8,56.0,0.98,1.0,0.6,300
3.48,Very Good,F,SI1,61.8,61.0,8.74,8.68,5.28,20000
0.75,Premium,F,VS1,62.1,64.0,1.89,1.96,1.12,3578
0.8,Ideal,J,VS2,61.3,57.0,2.03,2.0,1.23,3684
1.39,Very Good,H,VS1,63.8,54.0,3.58,3.57,2.2,9511
1.17,Ideal,G,SI1,58.2,58.0,2.96,3.01,1.86,7420
0.76,Very Good,F,VS2,63.3,57.0,1.94,1.95,1.19,3471
0.79,Ideal,F,SI2,62.8,62.0,1.98,2.05,1.24,3790
0.35,Good,E,VVS2,62.3,61.0,0.88,0.86,0.52,518
0.56,Ideal,H,IF,57.0,59.0,1.43,1.51,0.86,2717
0.96,Premium,F,SI1,63.5,56.0,2.42,2.38,1.52,4771
0.92,Very Good,J,I1,60.3,59.0,2.36,2.43,1.48,4399
1.36,Good,G,SI2,61.0,58.0,3.5,3.39,2.1,8779
0.7,Very Good,E,VS1,61.5,58.0,1.8,1.74,1.11,2339
0.37,Premium,E,VS2,62.3,54.0,0.93,0.94,0.56,603
1.26,Very Good,D,VVS2,62.6,60.0,3.21,3.19,1.95,9341
1.52,Ideal,H,SI1,62.9,58.0,3.93,3.93,2.45,11033
1.16,Premium,G,VS1,62.8,57.0,2.98,2.98,1.85,7907
0.68,Very Good,H,VS1,62.1,56.0,1.71,1.65,1.03,3030
1.25,Premium,G,SI1,62.3,56.0,3.19,3.13,1.92,7547
4.0,Ideal,D,VS2,60.2,58.0,10.33,10.34,6.21,20000
0.78,Very Good,E,SI2,60.6,54.0,1.98,1.95,1.23,3212
0.38,Very Good,D,VS2,63.0,59.0,0.98,1.05,0.6,300
0.55,Fair,H,VVS1,62.9,55.0,1.4,1.39,0.88,2391
1.01,Ideal,D,SI1,62.7,53.0,2.54,2.58,1.58,6431
0.33,Ideal,J,VVS2,61.0,62.0,0.83,0.85,0.5,300
0.81,Premium,D,VS2,63.0,56.0,2.04,2.01,1.27,4452
0.9,Ideal,H,SI1,60.1,56.0,2.27,2.17,1.39,4044
1.6,Ideal,H,VS2,63.2,60.0,4.13,4.19,2.48,12488
1.43,Premium,G,VS2,61.3,62.0,3.66,3.61,2.21,10667
1.14,Ideal,D,SI1,64.1,54.0,2.93,2.91,1.84,7423
0.25,Very Good,J,SI2,59.6,55.0,0.64,0.63,0.39,300
1.17,Good,G,SI1,64.2,56.0,2.97,2.97,1.84,7242
1.05,Very Good,D,SI2,61.2,60.0,2.65,2.7,1.61,6532
0.84,Good,G,SI2,61.2,61.0,2.17,2.17,1.31,3065
0.31,Premium,I,SI1,62.0,55.0,0.79,0.78,0.49,300
0.5,Ideal,G,SI1,60.7,61.0,1.27,1.32,0.79,738
0.41,Fair,G,VVS1,61.6,56.0,1.06,1.09,0.63,461
0.27,Good,D,SI1,60.7,58.0,0.69,0.65,0.41,300
0.74,Premium,E,VS1,60.7,55.0,1.91,1.85,1.17,3209
0.5,Ideal,G,VS2,62.4,57.0,1.29,1.25,0.78,618
2.75,Very Good,D,VS1,60.4,57.0,6.95,6.95,4.32,20000
0.68,Premium,G,SI1,60.6,57.0,1.71,1.65,1.02,2155
1.41,Fair,J,IF,59.8,58.0,3.65,3.65,2.27,10194
0.34,Very Good,H,VS2,61.0,55.0,0.86,0.85,0.53,300
0.57,Ideal,G,VVS2,63.5,56.0,1.43,1.3,0.86,1983
0.78,Ideal,I,SI1,60.5,58.0,1.99,1.92,1.2,3609
0.47,Fair,D,SI2,60.7,60.0,1.2,1.06,0.72,572
0.6,Ideal,E,VS1,62.0,57.0,1.54,1.52,0.92,2734
0.66,Ideal,H,I1,61.2,59.0,1.71,1.76,1.06,2275
0.66,Ideal,F,VS2,64.8,59.0,1.7,1.61,1.03,2304
1.87,Premium,E,SI1,61.5,59.0,4.83,4.76,2.98,15493
0.9,Premium,D,VS1,62.2,55.0,2.26,2.25,1.38,4704
0.94,Premium,D,IF,63.0,56.0,2.41,2.36,1.44,5325
0.97,Ideal,G,VS2,63.0,56.0,2.45,2.4,1.49,4958
1.01,Good,E,VVS2,62.0,62.0,2.55,2.58,1.58,6519
0.71,Fair,F,VS2,61.5,59.0,1.83,1.81,1.1,2516
0.63,Very Good,F,VS2,64.5,59.0,1.6,1.53,0.99,2135
0.81,Ideal,I,VVS1,61.6,58.0,2.09,1.99,1.25,4070
1.32,Very Good,I,VVS1,61.1,55.0,3.32,3.43,1.98,9251
1.3,Ideal,F,VVS2,60.8,62.0,3.35,3.41,2.02,9831
0.66,Ideal,H,SI1,59.3,59.0,1.66,1.64,1.01,2557
1.09,Good,J,VS2,62.9,59.0,2.75,2.75,1.71,5999
0.67,Ideal,E,SI1,58.4,54.0,1.71,1.69,1.04,2517
0.75,Premium,J,VS2,61.7,59.0,1.91,1.94,1.13,3440
0.58,Ideal,F,VS2,61.4,57.0,1.48,1.44,0.91,2006
0.68,Very Good,F,VVS2,64.8,55.0,1.76,1.73,1.07,2941
1.45,Ideal,D,VVS1,59.1,55.0,3.71,3.73,2.24,11184
0.78,Ideal,G,SI1,60.4,55.0,1.98,2.05,1.23,3075
0.79,Ideal,J,I1,61.5,55.0,1.99,2.03,1.19,3383
0.36,Ideal,F,VVS1,61.4,58.0,0.92,0.98,0.58,312
0.63,Premium,D,SI2,60.9,57.0,1.6,1.58,0.97,2242
0.66,Premium,D,VS1,61.6,58.0,1.69,1.66,1.03,2257
0.49,Ideal,G,SI2,59.9,61.0,1.24,1.14,0.78,671
0.75,Premium,H,SI1,62.2,57.0,1.93,1.93,1.2,2756
0.6,Fair,D,IF,58.4,53.0,1.51,1.53,0.9,2471
0.77,Ideal,I,SI2,61.7,57.0,1.97,1.95,1.21,3364
0.79,Ideal,F,SI1,60.9,60.0,2.02,1.98,1.22,3780
0.46,Ideal,G,SI1,63.1,57.0,1.16,1.22,0.71,835
0.61,Very Good,J,VVS1,64.2,61.0,1.57,1.6,0.97,2506
0.77,Ideal,G,VVS1,61.2,58.0,1.97,2.04,1.2,4051
1.34,Premium,H,SI1,63.6,53.0,3.43,3.38,2.03,9251
0.84,Ideal,E,SI2,61.3,58.0,2.14,2.1,1.31,3984
0.53,Good,D,VS1,60.3,58.0,1.37,1.43,0.81,1192
0.9,Ideal,H,SI1,64.1,60.0,2.31,2.31,1.4,4950
1.74,Ideal,E,VS1,62.4,62.0,4.42,4.39,2.69,14028
1.17,Fair,J,SI2,61.7,59.0,2.96,2.94,1.82,7167
0.97,Ideal,F,SI2,62.7,58.0,2.44,2.44,1.49,5941
1.06,Premium,J,VS1,62.1,59.0,2.67,2.72,1.59,6550
1.52,Ideal,D,SI1,61.6,57.0,3.93,3.92,2.47,11510
1.27,Ideal,E,VVS2,59.8,54.0,3.23,3.27,1.99,8582
0.98,Premium,F,SI2,61.3,58.0,2.53,2.55,1.52,5488
1.26,Ideal,E,SI1,62.6,58.0,3.18,3.14,2.0,8906
0.43,Ideal,F,IF,61.5,55.0,1.09,1.05,0.68,818
0.35,Premium,D,VS2,63.0,60.0,0.9,0.88,0.54,300
0.8,Very Good,E,VS1,62.2,60.0,2.01,1.94,1.24,4075
0.77,Ideal,D,SI2,60.5,54.0,1.97,1.94,1.21,3614
0.56,Ideal,G,VS2,59.9,61.0,1.45,1.53,0.87,1638
1.12,Ideal,I,VS1,61.5,57.0,2.89,2.89,1.73,6566
0.29,Ideal,F,SI1,61.0,56.0,0.75,0.71,0.46,300
0.57,Premium,I,VVS2,62.2,60.0,1.47,1.57,0.89,1574
0.58,Ideal,F,VS2,60.7,57.0,1.49,1.44,0.93,2074
0.33,Good,G,SI1,60.8,62.0,0.83,0.78,0.49,300
1.56,Premium,F,VS2,63.2,56.0,4.01,4.07,2.51,12187
0.38,Fair,J,VS2,61.9,54.0,0.98,1.01,0.61,300
0.55,Very Good,I,SI2,60.7,57.0,1.4,1.39,0.87,861
1.17,Premium,G,SI1,61.7,59.0,2.96,3.0,1.78,7168
1.02,Premium,D,SI1,63.6,55.0,2.61,2.63,1.61,5683
0.43,Ideal,G,SI1,62.1,55.0,1.1,1.04,0.67,300
1.04,Premium,G,VS1,62.5,58.0,2.63,2.51,1.62,6124
0.86,Premium,E,VS2,60.6,54.0,2.21,2.18,1.33,4088
2.38,Very Good,F,IF,63.1,58.0,6.08,6.13,3.79,20000
0.91,Premium,H,SI1,64.9,57.0,2.33,2.31,1.38,4570
0.69,Very Good,G,SI1,60.6,59.0,1.75,1.77,1.08,2709
0.48,Good,H,VVS2,60.0,54.0,1.21,1.22,0.75,512
0.51,Premium,D,VS2,61.9,60.0,1.31,1.23,0.81,910
0.49,Ideal,I,VS2,62.9,57.0,1.25,1.23,0.75,708
1.47,Premium,G,SI2,61.6,59.0,3.73,3.75,2.24,9929
0.75,Premium,J,SI1,60.2,60.0,1.9,1.86,1.16,3397
0.98,Premium,H,SI1,61.5,55.0,2.49,2.47,1.5,5105
1.58,Ideal,E,IF,62.5,59.0,4.03,4.05,2.38,12620
0.23,Premium,H,SI1,61.1,54.0,0.59,0.59,0.35,300
1.4,Premium,J,VVS1,62.6,54.0,3.6,3.65,2.23,9993
0.76,Fair,G,VS1,63.3,62.0,1.96,1.98,1.16,2857
0.92,Very Good,J,SI1,62.0,60.0,2.35,2.3,1.47,5148
0.49,Premium,J,VS2,61.7,62.0,1.25,1.23,0.76,300
0.51,Premium,E,VVS2,62.9,57.0,1.29,1.29,0.8,542
0.95,Premium,E,VVS1,60.5,58.0,2.44,2.51,1.45,6084
2.44,Premium,D,SI2,60.4,59.0,6.21,6.19,3.89,20000
1.22,Premium,D,SI1,61.3,57.0,3.13,3.04,1.85,8585
1.39,Ideal,E,SI1,61.0,56.0,3.53,3.55,2.09,10152
0.67,Ideal,J,SI2,60.6,56.0,1.69,1.65,1.0,2333
0.55,Ideal,E,VS2,64.3,58.0,1.39,1.33,0.83,1298
0.5,Ideal,D,VVS2,64.7,55.0,1.29,1.29,0.79,956
0.58,Fair,E,SI1,61.2,55.0,1.47,1.52,0.91,1305
0.27,Very Good,G,VS1,61.8,58.0,0.68,0.65,0.41,300
0.52,Fair,H,VS1,61.4,57.0,1.34,1.36,0.83,1383
0.56,Ideal,D,SI1,63.3,60.0,1.43,1.46,0.89,1369
0.68,Ideal,E,SI2,63.5,57.0,1.71,1.75,1.07,2681
0.79,Very Good,D,VS1,59.2,56.0,1.99,1.95,1.19,4332
0.89,Ideal,I,VVS2,62.4,58.0,2.25,2.19,1.34,4504
0.74,Good,H,VS1,59.9,56.0,1.89,1.84,1.12,3275
0.55,Ideal,H,I1,64.2,56.0,1.41,1.45,0.85,640
0.28,Very Good,E,SI1,62.3,56.0,0.71,0.74,0.43,300
0.56,Good,I,SI2,60.5,57.0,1.44,1.39,0.88,898
0.46,Premium,J,VS2,61.4,61.0,1.16,1.27,0.7,300
0.94,Very Good,D,VS1,61.3,54.0,2.37,2.32,1.46,5372
1.17,Very Good,J,SI2,62.4,60.0,3.03,3.08,1.83,6643
1.18,Very Good,D,VVS2,63.2,59.0,2.97,3.05,1.8,8240
1.08,Ideal,G,VS2,60.1,61.0,2.79,2.8,1.66,6440
0.69,Premium,D,VS1,64.3,64.0,1.77,1.73,1.09,2564
0.57,Very Good,F,IF,63.9,61.0,1.43,1.39,0.88,1892
0.51,Premium,D,SI2,60.5,60.0,1.3,1.29,0.81,994
0.35,Ideal,D,VVS1,61.8,55.0,0.89,0.94,0.56,301
1.22,Very Good,J,SI2,64.1,55.0,3.15,3.09,1.96,7446
0.68,Premium,J,SI1,63.4,58.0,1.73,1.64,1.04,1689
0.4,Good,H,VVS2,61.2,54.0,1.02,1.04,0.61,377
0.49,Very Good,E,VVS1,62.8,59.0,1.23,1.26,0.77,1123
0.48,Ideal,D,VS2,65.9,53.0,1.23,1.33,0.76,829
0.76,Very Good,G,VS2,61.8,60.0,1.92,1.85,1.19,4121
1.26,Premium,F,VS1,60.8,57.0,3.17,3.16,1.96,9153
0.62,Ideal,I,VVS2,61.9,58.0,1.6,1.66,0.96,2315
0.24,Good,E,SI2,62.0,56.0,0.61,0.62,0.38,300
0.67,Premium,D,VVS2,61.0,53.0,1.69,1.68,1.01,2399
0.69,Very Good,H,VS2,62.3,60.0,1.77,1.81,1.07,3005
0.66,Ideal,G,VS2,59.9,60.0,1.7,1.67,1.03,2515
0.54,Premium,J,SI1,60.8,57.0,1.36,1.4,0.83,1012
0.83,Ideal,F,VS2,62.8,59.0,2.09,2.03,1.27,3779
0.77,Premium,G,IF,59.2,57.0,1.94,1.86,1.18,4193
0.73,Fair,I,VS2,63.0,58.0,1.84,1.83,1.13,3082
0.91,Ideal,G,IF,58.9,59.0,2.33,2.2,1.41,6079
0.6,Ideal,G,SI2,59.3,59.0,1.53,1.53,0.92,1730
0.58,Premium,F,VS1,61.0,60.0,1.49,1.4,0.92,2173
1.48,Ideal,F,VVS2,62.1,59.0,3.77,3.78,2.34,11274
0.98,Ideal,J,VS1,63.6,58.0,2.52,2.53,1.54,5794
1.12,Very Good,E,VS2,61.8,56.0,2.86,2.86,1.76,7009
1.37,Very Good,E,VS2,61.4,56.0,3.54,3.56,2.16,9439
0.96,Premium,G,VVS1,62.5,59.0,2.45,2.46,1.45,6140
1.18,Premium,J,VVS2,60.5,54.0,3.04,3.03,1.85,7704
0.34,Ideal,E,SI2,61.9,60.0,0.86,0.95,0.51,300
0.82,Ideal,D,VVS2,60.0,57.0,2.09,2.11,1.29,4585
0.68,Very Good,H,SI1,61.8,56.0,1.75,1.79,1.07,2081
1.71,Very Good,H,SI1,61.5,55.0,4.31,4.36,2.56,13467
1.18,Ideal,I,VVS1,60.6,59.0,3.01,3.04,1.84,7946
0.54,Very Good,F,VS2,61.9,57.0,1.39,1.49,0.87,1008
0.89,Ideal,I,VVS2,61.9,61.0,2.29,2.3,1.38,5729
0.81,Premium,G,SI1,63.3,55.0,2.07,2.07,1.3,3277
0.93,Ideal,E,I1,59.5,56.0,2.37,2.34,1.49,5130
0.45,Good,F,VS2,61.6,57.0,1.14,1.13,0.71,432
0.89,Ideal,G,SI2,60.6,56.0,2.3,2.26,1.43,4183
0.66,Premium,G,VS1,62.9,58.0,1.68,1.71,1.02,2377
0.85,Premium,F,SI1,62.8,58.0,2.19,2.14,1.33,3697
0.52,Very Good,J,VS2,62.4,59.0,1.31,1.31,0.82,1603
0.55,Ideal,J,SI2,60.7,61.0,1.39,1.42,0.84,1124
1.33,Ideal,D,SI1,62.9,55.0,3.37,3.38,2.0,9237
0.44,Very Good,J,VVS2,59.6,58.0,1.13,1.09,0.67,1185
0.45,Good,E,SI2,59.3,56.0,1.14,1.17,0.7,300
0.72,Fair,D,VS1,59.9,58.0,1.81,1.81,1.1,3606
0.5,Ideal,H,VVS1,61.7,58.0,1.26,1.12,0.75,1532
0.48,Premium,G,VS1,62.6,55.0,1.21,1.16,0.75,300
0.78,Premium,F,VVS2,57.5,56.0,1.97,2.04,1.2,3909
0.35,Very Good,D,SI2,63.6,59.0,0.88,0.95,0.54,300
0.45,Premium,D,SI1,61.9,58.0,1.16,1.19,0.69,600
2.07,Premium,E,VVS1,59.5,57.0,5.26,5.3,3.14,18616
0.93,Premium,J,VS1,61.8,59.0,2.36,2.32,1.4,4799
0.51,Ideal,E,VS1,63.2,59.0,1.32,1.31,0.81,1070
0.91,Good,G,VS1,62.5,56.0,2.32,2.38,1.44,4628
0.98,Ideal,G,SI1,63.2,56.0,2.53,2.55,1.57,6112
1.22,Premium,J,SI2,59.8,55.0,3.09,3.09,1.86,7394
0.7,Premium,I,VVS2,61.1,58.0,1.78,1.77,1.11,2784
1.21,Ideal,E,VS1,60.4,54.0,3.08,3.14,1.83,8275
0.27,Ideal,G,VS2,64.1,58.0,0.69,0.75,0.41,300
0.44,Ideal,H,VVS1,62.6,60.0,1.12,1.15,0.7,935
0.8,Good,G,SI1,65.7,57.0,2.02,2.02,1.21,2842
0.87,Good,D,SI1,61.0,56.0,2.24,2.22,1.39,3993
0.47,Ideal,E,VVS1,60.7,62.0,1.2,1.23,0.71,968
0.84,Premium,H,VVS2,61.5,61.0,2.11,2.05,1.25,3829
0.54,Very Good,I,VS2,63.6,56.0,1.38,1.34,0.85,1445
0.65,Good,H,SI2,61.2,58.0,1.67,1.6,1.0,2119
1.24,Good,D,SI1,61.9,58.0,3.14,3.2,1.86,8514
1.17,Ideal,F,VS1,61.8,58.0,2.94,2.9,1.79,8079
0.45,Very Good,F,SI1,61.8,61.0,1.16,1.18,0.7,394
0.44,Very Good,F,VVS2,60.8,58.0,1.14,1.13,0.71,673
0.6,Very Good,G,IF,61.5,58.0,1.51,1.65,0.94,2611
0.73,Very Good,E,VVS2,61.4,59.0,1.89,1.91,1.16,3976
0.53,Good,F,SI1,61.7,60.0,1.35,1.26,0.81,635
1.25,Premium,I,VVS2,63.0,60.0,3.23,3.29,1.97,9356
0.88,Good,I,SI1,64.2,59.0,2.25,2.23,1.39,3612
0.91,Ideal,F,SI2,60.5,54.0,2.35,2.34,1.39,4605
0.39,Very Good,D,SI2,61.2,56.0,1.0,0.97,0.6,300
1.33,Premium,H,SI1,60.5,59.0,3.34,3.35,2.08,9239
0.2,Ideal,D,VVS1,62.0,58.0,0.5,0.51,0.3,300
1.12,Ideal,E,SI1,60.9,59.0,2.86,2.83,1.76,7520
1.18,Premium,H,SI1,62.0,62.0,2.97,2.94,1.76,7689
0.6,Very Good,J,IF,63.2,55.0,1.53,1.54,0.95,2294
1.4,Very Good,I,SI2,58.2,60.0,3.62,3.5,2.15,9963
0.72,Ideal,E,VVS2,62.4,57.0,1.82,1.75,1.14,3141
0.76,Ideal,I,SI1,61.1,60.0,1.94,2.02,1.15,3486
0.88,Ideal,G,SI2,62.3,57.0,2.24,2.26,1.4,4401
3.64,Premium,G,VVS1,60.4,62.0,9.32,9.29,5.63,20000
1.45,Ideal,E,SI2,63.4,58.0,3.66,3.58,2.25,10944
1.05,Premium,I,VS2,63.0,56.0,2.66,2.66,1.66,6043
0.47,Good,G,SI1,62.5,58.0,1.21,1.26,0.71,300
0.8,Premium,G,SI2,62.8,58.0,2.06,2.19,1.24,3171
0.49,Ideal,F,SI2,60.7,60.0,1.26,1.35,0.79,1082
1.12,Very Good,E,SI2,60.8,58.0,2.88,2.84,1.74,7248
